hid,creation_date,operation_id,death_date,season,season_start_month,season_start_day,death_next_season,hive_age_next_season,aqhi_average,prcp_average,wspd_average,ndvi_average,tavg_average,o3_average,aqhi_skew,prcp_skew,wspd_skew,ndvi_skew,tavg_skew,o3_skew,aqhi_max,prcp_max,wspd_max,ndvi_max,tavg_max,o3_max,region,wspd_average_og,tavg_average_og,prcp_average_og,aqhi_average_og
69137,2022-06-05,159,2024-03-26,2023,4,1,False,660,1.0108979299810263,1.490640276879416,2.3989385569173804,0.1874080668682792,2.8095066668404183,49.071700542005416,0.3618224141698337,5.585641949378558,0.3543081176780394,0.5340935882338494,-0.7855338139221782,-7.9019219710575,6.0,84.8,23.2,0.4985233720295463,24.3,101.56541666666668, QC,11.01138211382114,16.601626016260163,4.439837398373984,2.747967479674797
75650,2022-06-23,159,2024-03-05,2023,4,1,True,621,1.0167974380540252,1.544291813804771,2.4526943769530702,0.1876454056442242,2.814343111213492,48.21487804878049,0.4393660590498967,4.305678946104409,0.2340593561770139,0.3969424845070032,-0.7754691903376407,-7.773593967250944,6.0,71.0,23.2,0.5027795112587741,24.6,100.76166666666668, QC,11.61951219512195,16.682113821138213,4.684552845528455,2.7642276422764227
76522,2022-06-26,159,2024-03-05,2023,4,1,True,618,1.0167974380540252,1.544291813804771,2.4526943769530702,0.179569373244302,2.814343111213492,48.21487804878049,0.4393660590498967,4.305678946104409,0.2340593561770139,0.5022462209655782,-0.7754691903376407,-7.773593967250944,6.0,71.0,23.2,0.4711382566106664,24.6,100.76166666666668, QC,11.61951219512195,16.682113821138213,4.684552845528455,2.7642276422764227
157058,2023-05-14,159,2024-03-05,2023,4,1,True,296,0.962518308058585,1.585538212677973,2.4146231731010546,0.2026935103981462,2.858407200508565,45.16007575757576,0.7126212946850358,4.298444738536078,0.1503883262949691,0.469929483606709,-0.9874471440951148,-7.739901219779938,6.0,71.0,18.2,0.4822883016478347,24.6,100.76166666666668, QC,11.185454545454546,17.433636363636364,4.881818181818182,2.618181818181818
157145,2023-05-15,159,2024-04-01,2023,4,1,False,322,0.915373373430492,1.7480099647284837,2.270754106990793,0.1846348243759247,2.8669798467407848,43.591757575757576,0.6167926462666165,3.649830027131746,0.3865724570123456,0.4914520486744625,-0.8751189049930325,-7.708839707957511,6.0,81.1,18.2,0.4839465728874652,24.7,102.46041666666667, QC,9.686602870813395,17.583732057416267,5.743062200956937,2.4976076555023923
193726,2023-08-01,159,2024-03-04,2023,4,1,True,216,0.7091967270450001,1.5105303666348897,2.1835221660454818,0.1775618709703239,2.847350325776044,40.04155913978495,0.752406910576568,1.3543548610462732,0.2534401439028412,0.6812069502946151,-0.3918291605517851,0.4333146163096113,4.0,19.5,14.7,0.4717672490348688,20.8,68.47041666666667, QC,8.87741935483871,17.241935483870968,4.529032258064516,2.032258064516129
64699,2022-05-30,159,2024-04-01,2023,4,1,False,672,0.950709142481402,1.7011724450966297,2.2977853865314826,0.1768478024990971,2.838953183587356,45.4617014200299,0.4725971377876884,3.745162378517243,0.3938674551038978,0.6066504376097792,-0.8079664049335501,-7.7074865490749715,6.0,81.1,19.9,0.4934596542864206,24.7,102.46041666666667, QC,9.952017937219733,17.097757847533632,5.4802690582959634,2.587443946188341
156705,2023-05-12,159,2024-03-05,2023,4,1,True,298,0.9718984201509708,1.5813896401960352,2.4237047780615564,0.17793867318774,2.854318467603113,45.692354910714286,0.6564848450194322,4.320019903432096,0.1459334295462373,0.605263779847479,-0.9410172312385494,-7.739887342373915,6.0,71.0,18.2,0.4809135112269042,24.6,100.76166666666668, QC,11.2875,17.3625,4.861607142857143,2.642857142857143
170826,2023-06-03,159,2024-04-01,2023,4,1,False,303,0.7680948794095763,1.8973016350531573,2.10346862119908,0.1960178339566697,2.9017322906223257,36.83748611111111,0.8148941023524399,3.421791371059373,0.9146358396885196,0.5364379416953962,-0.4265337784536432,-8.09339446217135,5.0,81.1,17.2,0.4795039758204678,24.3,80.01958333333333, QC,8.194444444444445,18.20555555555556,6.667777777777778,2.1555555555555554
65236,2022-05-31,159,2024-03-28,2023,4,1,False,667,0.9778134294963208,1.6573950545530918,2.2212447890639604,0.1671499434819059,2.794557173575161,46.55939701897019,0.4616454371658496,3.9394043868138655,0.7481305716174163,0.7288894609381609,-0.6341623711641987,-7.735277433381317,6.0,81.1,19.9,0.4826105302975121,24.3,102.46041666666667, QC,9.21869918699187,16.35528455284553,5.2455284552845525,2.658536585365854
